"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Astrophytum myriostigma","SRX4742021","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Astrophytum myriostigma"
"Carnegiea gigantea","SRX2450055|SRX2450054|SRX2450053|SRX2450052|SRX2450051|SRX2360510|SRX2360509|SRX2360508|SRX2360507|SRX2360506","Cactaceae Genome sequencing and assembly","Carnegiea gigantea"
"Grusonia invicta","SRX6661345","Cylindropuntieae phylogenomics","Corynopuntia invicta"
"Grusonia moelleri","SRX6661339","Cylindropuntieae phylogenomics","Corynopuntia moelleri"
"Coryphantha maiz-tablasensis","SRX4742018","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Coryphantha maiz-tablasensis"
"Cylindropuntia acanthocarpa var. ramosa|Cylindropuntia acanthocarpa var. acanthocarpa|Cylindropuntia acanthocarpa var. thornberi","SRX6661317|SRX6661316|SRX6661315","Cylindropuntieae phylogenomics","Cylindropuntia acanthocarpa"
"Cylindropuntia alcahes var. alcahes|Cylindropuntia alcahes var. gigantensis|Cylindropuntia alcahes var. burrageana","SRX6661320|SRX6661319|SRX6661318","Cylindropuntieae phylogenomics","Cylindropuntia alcahes"
"Cylindropuntia anteojoensis","SRX6661321","Cylindropuntieae phylogenomics","Cylindropuntia anteojoensis"
"Cylindropuntia bigelovii","SRX6661322","Cylindropuntieae phylogenomics","Cylindropuntia bigelovii"
"Cylindropuntia californica var. rosarica|Cylindropuntia californica var. parkeri|Cylindropuntia californica var. californica","SRX6661358|SRX6661357|SRX6661323","Cylindropuntieae phylogenomics","Cylindropuntia californica"
"Cylindropuntia cholla","SRX6661355","Cylindropuntieae phylogenomics","Cylindropuntia cholla"
"Cylindropuntia echinocarpa","SRX6661360|SRX6661349","Cylindropuntieae phylogenomics","Cylindropuntia echinocarpa"
"Cylindropuntia fulgida","SRX6661350","Cylindropuntieae phylogenomics","Cylindropuntia fulgida"
"Cylindropuntia ganderi","SRX6661332","Cylindropuntieae phylogenomics","Cylindropuntia ganderi"
"Cylindropuntia imbricata var. argentea|Cylindropuntia imbricata var. imbricata|Cylindropuntia imbricata var. spinotecta","SRX6661331|SRX6661330|SRX6661329","Cylindropuntieae phylogenomics","Cylindropuntia imbricata"
"Cylindropuntia leptocaulis","SRX6661328","Cylindropuntieae phylogenomics","Cylindropuntia leptocaulis"
"Cylindropuntia munzii","SRX6661326","Cylindropuntieae phylogenomics","Cylindropuntia munzii"
"Cylindropuntia ramosissima","SRX6661325","Cylindropuntieae phylogenomics","Cylindropuntia ramosissima"
"Cylindropuntia spinosior","SRX6661334","Cylindropuntieae phylogenomics","Cylindropuntia spinosior"
"Cylindropuntia tesajo","SRX6661333","Cylindropuntieae phylogenomics","Cylindropuntia tesajo"
"Cylindropuntia thurberi","SRX6661347","Cylindropuntieae phylogenomics","Cylindropuntia thurberi"
"Cylindropuntia tunicata","SRX6661348|SRX6661324","Cylindropuntieae phylogenomics","Cylindropuntia tunicata"
"Cylindropuntia versicolor","SRX6661308","Cylindropuntieae phylogenomics","Cylindropuntia versicolor"
"Echinocactus platyacanthus","ERX4839791","Data for release 1.0 of the Kew Tree of Life Explorer","Echinocactus platyacanthus"
"Echinocereus pectinatus","SRX800781","Caryophyllales Transcriptome or Gene expression","Echinocereus pectinatus"
"Echinomastus erectocentrus var. erectocentrus|Echinomastus erectocentrus var. acunensis","SRX6456820|SRX6456818","Microsatellite markers for the cactus Echinomastus johnsonii","Echinomastus erectocentrus"
"Echinomastus intertextus","SRX6456822","Microsatellite markers for the cactus Echinomastus johnsonii","Echinomastus intertextus"
"Epiphyllum oxypetalum","SRX10393307","Raw sequencing data of Cereoideae plastomes","Epiphyllum oxypetalum"
"Ferocactus latispinus","SRX4742027","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Ferocactus latispinus"
"Grusonia bradtiana","SRX6661353|SRX4742005","Cylindropuntieae phylogenomics|Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Grusonia bradtiana"
"Grusonia kunzei","SRX6661346","Cylindropuntieae phylogenomics","Grusonia kunzei"
"Grusonia marenae","SRX6661340","Cylindropuntieae phylogenomics","Grusonia marenae"
"Hylocereus undatus|Selenicereus undatus","SRX9369004|SRX8169725|SRX8169724|SRX8169723|SRX8169722|SRX8169721|SRX8169720|SRX8169719|SRX8169718|SRX8169717|SRX8169716|SRX8169715|SRX8169714|SRX8169713|SRX8169712|SRX8169711|SRX8169710|SRX8169709|SRX8169708|DRX121005|DRX121004|DRX121003|DRX121002|DRX121001|DRX121000|DRX120999|DRX120998|DRX120997|DRX120996|DRX120995|DRX120994|SRX7810985|SRX7810984|SRX7810983|SRX7810982|SRX7810977|SRX7810976|SRX5249180|SRX5249179|SRX5249178|SRX5249177|SRX5138926|SRX5138925|SRX4779434|SRX1644874|SRX1640168|SRX1640167","Selenicereus undatus Genome sequencing|Transcriptome sequencing of pitaya fruit|Indentification of salt tolerant genes by RNA-Seq in red pitaya|Transcriptome analysis of pitaya fruit with different color and texture|RNA-Seq of flowering progress in pitaya|Selenicereus undatus cultivar:Viet 1 Transcriptome or Gene expression|sequencing of full-length transcriptome of Pitaya|Selenicereus undatus Raw sequence reads|Selenicereus undatus Transcriptome or Gene expression","Hylocereus undatus"
"Lophocereus gatesii","SRX4742010","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Lophocereus gatesii"
"Lophocereus schottii","SRX2455202","Cactaceae Genome sequencing and assembly","Lophocereus schottii"
"Lophophora williamsii","ERX2099284|SRX701022|SRX701021|SRX700994","1000 Plant (1KP) Transcriptomes: The Remaining Data|Lophophora williamsii Transcriptome","Lophophora williamsii"
"Mammillaria plumosa","SRX2857979","Targeted sequence capture study of the Portullugo","Mammillaria plumosa"
"Opuntia arenaria","SRX4742007","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Opuntia arenaria"
"Opuntia bravoana","SRX4742011","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Opuntia bravoana"
"Nopalea cochenillifera","SRX6260743|SRX800816|SRX800815|SRX800798|SRX800797|SRX800780","Sequencing OPUNTIA COCHENILLIFERA|Caryophyllales Transcriptome or Gene expression","Opuntia cochenillifera"
"Opuntia joconostle","SRX10981604|SRX10981603","Transcriptomic exploratory of three species of Opuntia sp.","Opuntia joconostle"
"Opuntia polyacantha","ERX2099285","1000 Plant (1KP) Transcriptomes: The Remaining Data","Opuntia polyacantha"
"Opuntia robusta","SRX10981606|SRX10981605","Transcriptomic exploratory of three species of Opuntia sp.","Opuntia robusta"
"Opuntia streptacantha","SRX1744357|SRX1744356|SRX1744355|SRX1744354|SRX1744353|SRX1744352|SRX1744351|SRX1744350|SRX1744349|SRX1744348","Opuntia streptacantha cultivar:Nopal cardon Transcriptome or Gene expression","Opuntia streptacantha"
"Pachycereus pringlei","ERX4839793|SRX3270830|SRX3270829|SRX3270828|SRX3270827|SRX3270826|SRX3270825|SRX2455205","Data for release 1.0 of the Kew Tree of Life Explorer|RNA-seq insights into primary root apical meristem exhaustion and determinate root growth in Pachycereus pringlei (Cactaceae)|Cactaceae Genome sequencing and assembly","Pachycereus pringlei"
"Peniocereus cuixmalensis","SRX4741996","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Peniocereus cuixmalensis"
"Leuenbergeria lychnidiflora","SRX2857952|SRX800792","Targeted sequence capture study of the Portullugo|Caryophyllales Transcriptome or Gene expression","Pereskia lychnidiflora"
"Pereskiopsis diguetii","SRX6661307","Cylindropuntieae phylogenomics","Pereskiopsis diguetii"
"Pereskiopsis kellermanii","SRX6661343","Cylindropuntieae phylogenomics","Pereskiopsis kellermanii"
"Pereskiopsis porteri","SRX6661311|SRX2857988","Cylindropuntieae phylogenomics|Targeted sequence capture study of the Portullugo","Pereskiopsis porteri"
"Rhipsalis baccifera","SRX4742006","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments","Rhipsalis baccifera"
"Selenicereus anthonyanus","SRX10393297","Raw sequencing data of Cereoideae plastomes","Selenicereus anthonyanus"
"Stenocereus queretaroensis","SRX10667326|SRX10667325|SRX10667324|SRX10667323|SRX10667322|SRX10667321","De novo transcriptome assembly of Stenocereus queretaroensis suspension cells and DEG nalysis","Stenocereus queretaroensis"
"Stenocereus thurberi","SRX2455204","Cactaceae Genome sequencing and assembly","Stenocereus thurberi"
"Calceolaria tripartita","SRX9672927","Phylogenomics of Gesneriaceae using targeted capture of nuclear genes","Calceolaria tripartita"
"Calophyllum brasiliense","SRX1969637|SRX1969636|SRX1969635","Calophyllum brasiliense Transcriptome or Gene expression","Calophyllum brasiliense"
"Mammea americana","ERX2099416","1000 Plant (1KP) Transcriptomes: The Remaining Data","Mammea americana"
"Campanula rotundifolia","ERX4839908|SRX9009417|SRX4286117|SRX4286116|SRX4286115|SRX4286114|SRX4286113|SRX4286112|SRX4286111|SRX4286110|SRX4286109|SRX4286108|SRX4286107|SRX4286106|SRX4286105|SRX4286104|SRX4286103|SRX4286102|SRX4286101|SRX4286100|SRX4286099|SRX4286098|SRX4286097|SRX4286096|SRX4286095|SRX4286094|SRX4286093","Data for release 1.0 of the Kew Tree of Life Explorer|Raw sequence reads from Danish species|Restriction-site Associated DNA sequencing of Campanula rotundifolia","Campanula rotundifolia"
"Lobelia cardinalis","SRX8565994|SRX8165880|SRX7841742","Asterid phylogenomics/phylotranscriptomics uncover morphological evolutionary histories and phylogenetic placement for numerous whole genome duplications|DNA Barcodes from the Global Genome Initiative for Gardens Program|Lobelia cardinalis","Lobelia cardinalis"
"Canella winterana","ERX2099179|ERX2099178","1000 Plant (1KP) Transcriptomes: The Remaining Data","Canella winterana"
"Trema micranthum","ERX2808522","Salmonella_enterica_ancient_DNA_and_modern_demography","Trema micrantha"
"Crateva tapia","ERX4171321","Nested whole-genome duplications coincide with diversification and high morphological disparity over geological times in the Brassicaceae","Crateva tapia"
"Valeriana edulis","SRX5674967","Medicinal Plant","Valeriana edulis"
"Valeriana prionophylla","SRX10652368","Targeted enrichment of Angiosperms353 in Dipsacales","Valeriana prionophylla"
"Carica papaya","SRX9907666|SRX9907665|SRX9907664|SRX9907663|SRX9907662|SRX9907661|SRX9907660|SRX9907659|SRX9907658|SRX9893730|SRX9893729|SRX9893728|SRX9893727|SRX9893726|SRX9893725|SRX9893724|SRX9893723|SRX9893722|SRX9893721|SRX9893720|SRX9893719|SRX9893718|SRX9893717|SRX9893716|SRX9893715|SRX9893714|SRX9893713|SRX9893712|SRX9893711|SRX9893710|SRX9893709|SRX9893708|SRX9893707|SRX9893706|SRX9893705|SRX9893704|SRX9893703|SRX9893702|SRX9893701|SRX9893700|SRX9893699|SRX9855599|SRX9855598|SRX9855597|SRX9855596|SRX9855595|SRX9855594|SRX9855593|SRX9855592|SRX9855591|SRX9855590|SRX9855589|SRX9855588|SRX9855587|SRX9855586|SRX9855585|SRX9855584|SRX9855583|SRX9855582|SRX9729005|SRX9729004|SRX9729003|SRX9729002|SRX9729001|SRX9729000|SRX9728999|SRX9728998|SRX9728997|SRX9728996|SRX9728995|SRX9728994|SRX9728993|SRX9728992|SRX9728991|SRX9728990|SRX9728989|SRX9728988|SRX8214942|SRX8202251|SRX8130385|SRX8130384|SRX7221166|SRX7221165|SRX7221164|SRX7221163|SRX7221162|SRX7221161|SRX7221160|SRX7221159|SRX7221158|SRX7142931|SRX6857948|SRX6857947|SRX6857946|SRX6857945|SRX6857944|SRX6857943|SRX6857942|SRX6857941|SRX6857940|SRX6857939|SRX6857938|SRX6857937|SRX7010781|SRX6716958|SRX6716957|SRX6716956|SRX6716955|SRX6716954|SRX6716953|SRX6716952|SRX6716951|SRX6716950|SRX6716949|SRX6716948|SRX6716947|SRX6716946|SRX6716945|SRX6716944|SRX6716943|SRX6716942|SRX6716941|SRX6716940|SRX6716939|SRX6716938|SRX6716937|SRX6716936|SRX6716935|SRX6473549|SRX6473548|SRX6473547|SRX6473546|SRX6473545|SRX6473544|SRX6473543|SRX6473542|SRX6473541|SRX6473540|SRX6473539|SRX6473538|SRX6473537|SRX6473536|SRX6473535|SRX6473534|SRX6093630|SRX6093629|SRX6093628|SRX6093627|SRX6093626|SRX6093625|SRX6093624|SRX6093623|SRX6093622|SRX6093621|SRX6093620|SRX6093619|SRX6093618|SRX6093617|SRX6093616|SRX6093615|SRX6093614|SRX6093613|SRX5880752|SRX5880751|SRX5880750|SRX5880749|SRX5880748|SRX5880747|SRX5880746|SRX5880745|SRX5880744|SRX5880743|SRX5880742|SRX5880741|SRX5880740|SRX5880739|SRX5880738|SRX5880737|SRX5880736|SRX5880735|SRX5880734|SRX5880733|SRX5880732|SRX5880731|SRX5880730|SRX5880729|SRX5880728|SRX5880727|SRX5880726|SRX5880725|SRX5880724|SRX5880723|SRX5880722|SRX5880721|SRX5880720|SRX5880719|SRX5880718|SRX5880717|SRX5880716|SRX5880715|SRX5880714|SRX5880713|SRX5880712|SRX5880711|SRX5880710|SRX5880709|SRX5880708|SRX5880707|SRX5880706|SRX5880705|SRX5880704|SRX5880703|SRX5880702|SRX5880701|SRX5880700|SRX5880699|SRX5880698|SRX5880697|SRX5880696|SRX5880695|SRX5880694|SRX5880693|SRX5880692|SRX5880691|SRX5880690|SRX5880689|SRX5880688|SRX5880687|SRX5880686|SRX5880685|SRX5880684|SRX5880683|SRX5880682|SRX5880681|SRX5880680|SRX5880679|SRX5880678|SRX5880677|SRX5880676|SRX5880675|SRX5880674|SRX5880673|SRX5880672|SRX5880671|SRX5880670|SRX5880669|SRX5880668|SRX5880667|SRX5880666|SRX5880665|SRX5880664|SRX5880663|SRX5880662|SRX5880661|SRX5880660|SRX5880659|SRX5880658|SRX5880657|SRX5880656|SRX5880655|SRX5880654|SRX5880653|SRX5880652|SRX5880651|SRX5880650|SRX5880649|SRX5880648|SRX5880647|SRX5880646|SRX5880645|SRX5880644|SRX5880643|SRX5880642|SRX5880641|SRX5880640|SRX5880639|SRX5880638|SRX5880637|SRX5880636|SRX5880635|SRX5880634|SRX5880633|SRX5880632|SRX5880631|SRX5880630|SRX5880629|SRX5880628|SRX5880627|SRX5880626|SRX5880625|SRX5880624|SRX5880623|SRX5880622|SRX5880621|SRX5880620|SRX5880619|SRX5880618|SRX5880617|SRX5880616|SRX5880615|SRX5880614|SRX5880613|SRX5880612|SRX5880611|SRX5880610|SRX5880609|SRX5880608|SRX5880607|SRX5880606|SRX5880605|SRX5880604|SRX5880603|SRX5880602|SRX5880601|SRX5880600|SRX5880599|SRX5880598|SRX5880597|SRX5880596|SRX5880595|SRX5880594|SRX5880593|SRX5880592|SRX5880591|SRX5880590|SRX5880589|SRX5880588|SRX5880587|SRX5880586|SRX5880585|SRX5880584|SRX5880583|SRX5880582|SRX5880581|SRX5880580|SRX5880579|SRX5880578|SRX5880577|SRX5880576|SRX5880575|SRX5880574|SRX5880573|SRX5880572|SRX5880571|SRX5880570|SRX5880569|SRX5880568|SRX5880567|SRX5880566|SRX5880565|SRX5880564|SRX5880563|SRX5880562|SRX5880561|SRX5880560|SRX5880559|SRX5880558|SRX5880557|SRX5880556|SRX5880555|SRX5880554|SRX5880553|SRX5880552|SRX5880551|SRX5880550|SRX5880549|SRX5880548|SRX5880547|SRX5880546|SRX5880545|SRX5880544|SRX5880543|SRX5880542|SRX5880541|SRX5880540|SRX5880539|SRX5880538|SRX5880537|SRX5880536|SRX5880535|SRX5880534|SRX5880533|SRX5880532|SRX5880531|SRX5880530|SRX5880529|SRX5880528|SRX5880527|SRX5880526|SRX5880525|SRX5880524|SRX5880523|SRX5880522|SRX5880521|SRX5880520|SRX5880519|SRX5880518|SRX5880517|SRX5880516|SRX5880515|SRX5880514|SRX5880513|SRX5728490|SRX5728489|SRX5667928|SRX5667927|SRX5086317|SRX5086316|SRX4065616|SRX4065615|SRX4065614|SRX4065613|SRX4065612|SRX4065611|SRX4065610|SRX4065609|SRX4065608|SRX4065607|SRX4065606|SRX4065605|SRX4065604|SRX4065603|SRX4065602|SRX4065601|SRX4065600|SRX4065599|SRX4043353|SRX3932306|SRX3932293|SRX3932292|SRX3932291|SRX3931182|SRX3931181|SRX3931180|SRX3931179|ERX2451541|SRX3560158|SRX3509960|SRX3509959|SRX3509958|SRX3509957|SRX3509956|SRX3428463|SRX3428462|SRX3428461|SRX3428460|SRX3428458|SRX3420429|SRX3420428|SRX3420370|SRX3420308|SRX3420307|SRX2697934|SRX2697933|SRX2697932|SRX2697834|SRX2697833|SRX2697832|SRX2697831|SRX2697830|SRX2697829|SRX2697676|SRX2697675|SRX2697674|SRX2697673|SRX2697672|SRX2697671|SRX2697670|SRX2347540|SRX2347539|SRX2347538|SRX2060185|SRX2060183|SRX2060182|SRX2060181|SRX2060180|SRX1816058|SRX1770934|SRX1770933|SRX1770817|SRX1770718|SRX1763363|SRX1763362|DRX033324|SRX891026|SRX847406|SRX847805|SRX847803|SRX847802|SRX847801|SRX847800|SRX847799|SRX847798|SRX847797|SRX847796|SRX847795|SRX847794|SRX847793|SRX847792|SRX847791|SRX847790|SRX847789|SRX847788|SRX847786|SRX847785|SRX847784|SRX847423|SRX847422|SRX847421|SRX847420|SRX847415|SRX847413|SRX847411|SRX847410|SRX847409|SRX847408|SRX847407|SRX829703|SRX828828|SRX828825|SRX826461|DRX017654|DRX017653|SRX433125|SRX433124|SRX433123|SRX433122|SRX433121|SRX433120|SRX025880","RNA-seq of Carica_papaya|Genome re-sequencing of Carica papaya|Comparative transcriptomic analyses of anthracnose-resistant and -susceptible papaya (Carica papaya L.) varieties to identify the genes involved in the resistance to Colletotrichum brevisporum infection|Gene regulation network analyses reveal molecular mechanism of pistil development in papaya|Brassicales Raw sequence reads|Carica papaya Raw sequence reads|Gene Expression Profiling of Papaya (Carica papaya L.) Immune Response Induced by CTS-N after inoculating PLDMV|Metagenomic sequencing of Kenyan papaya infected with an unknown virus|Differential gene expression among three sex types reveals a MALE STERILITY 1 (CpMS1) for sex differentiation in papaya|papaya 'Sunset' genome resequencing data|C.papaya transcriptome profiling reveals regulatory mechanisms of PapMV (Papaya mosaic virus) and PRSV (Papaya ringspot virus) antagonism|RNAseq of papaya leaves and flowers from male and female plants|Transcriptome  of gynoecia in papaya flowers|Papaya GBS ('RB2'x 'Sunrise Solo' F2 population)|Relationship between growth and gene expression in papaya treated with freeze-thaw awakening method|Comparative analysis of transcriptomic profiles between male and female floral buds|Papaya breeding for fruit quality traits (genomic data of papaya 'RB2' and 'Sunrise Solo')|Transcriptome of leaves, sap, and roots of papaya plant under well-watered condition and drought stress|High-depth whole genome sequencing of 760 vascular plants with specimens and images available Raw sequence reads|Papaya shoot tissue endophytic microbiome analysis|Transcriptome analysis of the flesh and peel of  papaya fruit|Illumina HiSeq 2000 paired-end sequencing technology; Genome sequencing of Eksotika papaya variety.|Role of miRNAs in Carica papaya leaf juice for accelerating blood platelet count during dengue fever (DH): An augment for Dengue therapy|Transcriptome sequencing of  papaya  flower|fruitENCODE: An encyclopedia of DNA elements for fruit ripening|Isolation of ripening-related genes from ethylene/1-MCP treated papaya through RNA-seq|Carica papaya embryogenic callus 3'' mRNA sequencing|Carica papaya cultivar:SunUp and Sunset Transcriptome or Gene expression|Genetically modified papaya PRSV-YK genomic sequence data|Carica papaya Genome sequencing|Papaya genome sequences|Small RNA Solexa sequencing of multiple tissues of papaya, Carica papaya|Carica papaya SRA genome sequencing project","Carica papaya"
"Arenaria lanuginosa","SRX6419216","Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus Stellaria L. (Caryophyllaceae): Core Stars and Fallen Stars","Arenaria lanuginosa"
"Cardionema ramosissimum","SRX3526890","phylotranscriptomic analysis of Caryophyllales","Cardionema ramosissimum"
"Cerastium arvense","SRX998858","Stranded transcriptome sequencing from 14 species across the plant order Caryophyllales","Cerastium arvense"
"Colobanthus quitensis","SRX2913823|SRX2913822|SRX814890","Transcriptome analysis of Colobanthus quitensis|Colobanthus quitensis Transcriptome or Gene expression","Colobanthus quitensis"
"Drymaria subumbellata","SRX3746793","Stranded transcriptome sequencing from 43 species across the plant order Caryophyllales","Drymaria subumbellata"
"Krascheninnikovia lanata","SRX3746759","Stranded transcriptome sequencing from 43 species across the plant order Caryophyllales","Krascheninnikovia lanata"
"Paronychia congesta","SRX7051501","Biogeography of the genus Stellaria","Paronychia congesta"
"Paronychia jamesii","SRX3526892","phylotranscriptomic analysis of Caryophyllales","Paronychia jamesii"
"Polycarpon tetraphyllum","SRX3526893","phylotranscriptomic analysis of Caryophyllales","Polycarpon tetraphyllum"
"Sagina procumbens","SRX2729178","Genotyping-by-sequencing of Facchinia (Caryophyllaceae)","Sagina procumbens"
"Sagina saginoides","SRX2729177","Genotyping-by-sequencing of Facchinia (Caryophyllaceae)","Sagina saginoides"
"Spergularia marina","SRX3526894","phylotranscriptomic analysis of Caryophyllales","Spergularia marina"
"Stellaria cuspidata|Stellaria cuspidata subsp. prostrata","SRX6419297|SRX6419293","Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus Stellaria L. (Caryophyllaceae): Core Stars and Fallen Stars","Stellaria cuspidata"
"Stellaria hintoniorum","SRX6419234","Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus Stellaria L. (Caryophyllaceae): Core Stars and Fallen Stars","Stellaria hintoniorum"
"Stellaria irazuensis","SRX6419316","Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus Stellaria L. (Caryophyllaceae): Core Stars and Fallen Stars","Stellaria irazuensis"
"Stellaria nitens","SRX6419185","Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus Stellaria L. (Caryophyllaceae): Core Stars and Fallen Stars","Stellaria nitens"
"Crossopetalum rhacoma","ERX4840536|ERX2099385","Data for release 1.0 of the Kew Tree of Life Explorer|1000 Plant (1KP) Transcriptomes: The Remaining Data","Crossopetalum rhacoma"
"Gyminda latifolia","ERX4840539","Data for release 1.0 of the Kew Tree of Life Explorer","Gyminda latifolia"
"Hippocratea volubilis","ERX4840542","Data for release 1.0 of the Kew Tree of Life Explorer","Hippocratea volubilis"
"Mortonia greggii","ERX4840547","Data for release 1.0 of the Kew Tree of Life Explorer","Mortonia greggii"
"Zinowiewia matudae","ERX4840559","Data for release 1.0 of the Kew Tree of Life Explorer","Zinowiewia matudae"
"Ceratophyllum demersum","ERX3436061|SRX8861055|ERX4245810|ERX4245809|SRX7950021|SRX6412738|SRX4321583|ERX2099177","Angiosperm mitochondrial phylogenomics|DNA barcoding tallgrass prairie plants|Data for the release 0.1 of the Kew Tree of Life (Part 2/2)|Ceratophyllum demersum Genome sequencing|Angiosperms353|1000 Plant (1KP) Transcriptomes: The Remaining Data","Ceratophyllum demersum"
"Andinocleome pilosa","SRX8214936|SRX8202243","Brassicales Raw sequence reads","Andinocleome pilosa"
"Sieruela rutidosperma","SRX4043164","High-depth whole genome sequencing of 760 vascular plants with specimens and images available Raw sequence reads","Cleome rutidosperma"
"Corynandra viscosa","ERX2992713|SRX8214933|SRX8202241|ERX2099506","Whole genome sequencing for genome skimming of Swiss Brassicaceae|Brassicales Raw sequence reads|1000 Plant (1KP) Transcriptomes: The Remaining Data","Corynandra viscosa"
"Gynandropsis gynandra","SRX9729093|ERX4303892|ERX4303891|ERX4303890|ERX4303889|ERX4303888|ERX4303887|ERX4303886|ERX4303885|ERX4303884|ERX4303883|ERX4303882|ERX4303881|ERX4297085|ERX4297084|ERX4297083|ERX4297082|ERX4297081|ERX4297080|ERX4297079|ERX4297078|ERX4297077|ERX4297076|ERX4297075|ERX4297074|SRX8707247|SRX8707246|SRX8707245|SRX8707244|SRX8707243|SRX8707242|SRX8707240|SRX8707239|SRX8707238|SRX8707237|SRX8707236|SRX8707235|SRX8707234|SRX8707233|SRX8707232|SRX8707231|SRX8707230|SRX8707229|SRX8707228|SRX8707227|SRX8707226|SRX8707225|SRX8707224|SRX8707223|SRX8707222|SRX8707221|SRX8707220|SRX8707219|SRX8707218|SRX8707217|SRX8707241|SRX8214956|SRX8202264|SRX3424919|SRX3424918|SRX3424917|SRX3424916|SRX3424915|SRX3424914|SRX3424913|SRX3424912|ERX2099505|ERX2099504|ERX1302073|ERX1302072|ERX1302071|ERX1302067|ERX1302066|ERX1302065|SRX2700108|SRX2697638|SRX2600447|ERX1302070|ERX1302069|ERX1302068|ERX1302064|ERX1302063|ERX1302062|ERX768448|ERX768446|ERX768444|ERX768442|ERX768439|ERX768438|ERX008917|ERX008916|ERX008915|ERX008914|ERX008913|ERX008912|SRX511267|SRX511266|SRX511261|SRX511260|SRX511259|SRX511258|SRX465580|SRX465579|SRX465578|SRX465577|SRX465576|SRX465575|SRX465574|SRX465573|SRX465572|SRX465571|SRX465570|SRX465569|SRX465568|SRX465567|SRX465566|SRX465565|SRX465564|SRX465563|SRX465562|SRX465561|SRX465560|SRX465559|SRX465558|SRX465557|SRX465556|SRX465555|SRX465554|SRX465553|SRX465552|SRX465551|SRX465550|SRX465549|SRX465548|SRX465547|SRX465546|SRX465545|SRX465544|SRX465543|SRX465542|SRX465541|SRX465540|SRX465539|SRX465538|SRX465537|SRX465536|SRX465535|SRX465534|SRX465533|SRX465532|SRX465531|SRX465530|SRX465529|SRX465528|SRX465527|SRX004115","The complete chloroplast genome sequence of Gynandropsis gynandra|Exploring the microbiota of East African indigenous leafy greens|DNase- and RNA-SEQ of Gynandropsis gynandra during de-etiolation.|Brassicales Raw sequence reads|Ancient duons underpin spatial patterning of gene expression in C4 leaves|1000 Plant (1KP) Transcriptomes: The Remaining Data|Gynandropsis gynandra de-etiolation experiment|Cleomaceae Raw sequence reads|Mature leaves of Cleome gynandra and Cleome hassleriana Raw sequence reads|Guard and Mesophyll cells transcriptomes in mature leaves of Gynandropsis gynandra (C4) and Tareneya hassleriana (C3).|Cleome gynandra leaf development RNA-seq|Cleome gynandra leaf gradient|Cleome gynandra Transcriptome|RNA-seq of two species of Cleome provides insight into the evolution of C4 photosynthesis","Gynandropsis gynandra"
"Polanisia dodecandra|Polanisia dodecandra subsp. trachysperma","SRX8214905|SRX8202211|ERX3508814","Brassicales Raw sequence reads|1000 Plant (1KP) Transcriptomes: The Remaining Data","Polanisia dodecandra"
"Polanisia trachysperma","SRX8214890|SRX8202192","Brassicales Raw sequence reads","Polanisia trachysperma"
"Cleome spinosa","SRX004114","RNA-seq of two species of Cleome provides insight into the evolution of C4 photosynthesis","Tarenaya spinosa"
"Clusia rosea","SRX4284026","Whole genome duplications in Malpighiales","Clusia rosea"
"Chrysochlamys nicaraguensis","SRX4388740","Tovomita studies. Raw sequence reads.","Chrysochlamys nicaraguensis"
"Garcinia macrophylla","SRX4388712","Tovomita studies. Raw sequence reads.","Garcinia macrophylla"
"Conocarpus erectus","ERX5039542|ERX4839676","Data for release 1.0 of the Kew Tree of Life Explorer","Conocarpus erectus"
